condition,p_semantic,p_social,rep,period,repertoire_size,max_level,mean_score
random,0.0,0.0,1,72,10,4,69.9
random,0.0,0.0,1,73,10,4,72.9
random,0.0,0.0,1,74,10,4,72.9
random,0.0,0.0,1,75,10,4,75.9
random,0.0,0.0,1,76,10,4,78.6
random,0.0,0.0,1,77,10,4,81.0
random,0.0,0.0,1,78,10,4,81.6
random,0.0,0.0,1,79,10,4,85.2
random,0.0,0.0,1,80,10,4,87.3
random,0.0,0.0,1,81,10,4,89.7
random,0.0,0.0,1,82,11,5,91.3
random,0.0,0.0,1,83,11,5,89.0
random,0.0,0.0,1,84,11,5,92.0
random,0.0,0.0,1,85,11,5,91.1
random,0.0,0.0,1,86,11,5,91.4
random,0.0,0.0,1,87,11,5,91.0
random,0.0,0.0,1,88,12,5,88.9
random,0.0,0.0,1,89,13,6,92.8
random,0.0,0.0,1,90,13,6,91.9
random,0.0,0.0,1,91,13,6,93.4
random,0.0,0.0,1,92,14,6,99.8
random,0.0,0.0,1,93,14,6,94.4
random,0.0,0.0,1,94,14,6,97.1
random,0.0,0.0,1,95,14,6,97.4
random,0.0,0.0,1,96,13,6,93.2
random,0.0,0.0,1,97,13,6,95.9
random,0.0,0.0,1,98,13,6,90.2
random,0.0,0.0,1,99,13,6,80.6
random,0.0,0.0,1,100,14,6,80.8
random,0.0,0.0,1,101,10,4,63.6
random,0.0,0.0,1,102,10,4,64.2
random,0.0,0.0,1,103,10,4,66.0
random,0.0,0.0,1,104,10,4,70.8
random,0.0,0.0,1,105,10,4,65.4
random,0.0,0.0,1,106,11,5,77.2
random,0.0,0.0,1,107,11,5,79.6
random,0.0,0.0,1,108,11,5,77.2
random,0.0,0.0,1,109,11,5,86.3
random,0.0,0.0,1,110,11,5,88.1
random,0.0,0.0,1,111,11,5,92.0
random,0.0,0.0,1,112,11,5,94.1
random,0.0,0.0,1,113,11,5,94.1
random,0.0,0.0,1,114,12,6,105.3
random,0.0,0.0,1,115,12,6,96.2
random,0.0,0.0,1,116,12,6,94.4
random,0.0,0.0,1,117,10,4,80.7
random,0.0,0.0,1,118,10,4,79.5
random,0.0,0.0,1,119,11,5,82.3
random,0.0,0.0,1,120,11,5,83.2
random,0.0,0.0,1,121,11,5,82.6
random,0.0,0.0,1,122,11,5,85.3
random,0.0,0.0,1,123,11,5,83.2
random,0.0,0.0,1,124,11,5,86.2
random,0.0,0.0,1,125,11,5,82.6
random,0.0,0.0,1,126,11,5,85.9
random,0.0,0.0,1,127,11,5,82.0
random,0.0,0.0,1,128,11,5,83.8
random,0.0,0.0,1,129,11,5,86.2
random,0.0,0.0,1,130,11,5,87.4
random,0.0,0.0,1,131,11,5,88.9
random,0.0,0.0,1,132,11,5,87.4
random,0.0,0.0,1,133,11,5,82.9
random,0.0,0.0,1,134,10,4,77.4
random,0.0,0.0,1,135,11,5,82.6
random,0.0,0.0,1,136,11,5,80.2
random,0.0,0.0,1,137,11,5,87.5
random,0.0,0.0,1,138,11,5,81.2
random,0.0,0.0,1,139,11,5,78.4
random,0.0,0.0,1,140,11,5,81.1
random,0.0,0.0,1,141,11,5,81.7
random,0.0,0.0,1,142,12,6,88.1
random,0.0,0.0,1,143,12,6,92.6
random,0.0,0.0,1,144,12,6,96.2
random,0.0,0.0,1,145,12,6,96.2
random,0.0,0.0,1,146,12,6,96.2
random,0.0,0.0,1,147,12,6,94.4
random,0.0,0.0,1,148,12,6,93.8
random,0.0,0.0,1,149,12,6,96.5
random,0.0,0.0,1,150,12,6,92.6
random,0.0,0.0,2,0,0,0,0.0
random,0.0,0.0,2,1,5,2,22.5
random,0.0,0.0,2,2,7,3,36.3
random,0.0,0.0,2,3,7,3,45.0
random,0.0,0.0,2,4,7,3,51.3
random,0.0,0.0,2,5,7,3,57.3
random,0.0,0.0,2,6,8,3,61.5
random,0.0,0.0,2,7,8,3,63.9
random,0.0,0.0,2,8,8,3,66.9
random,0.0,0.0,2,9,8,3,69.0
random,0.0,0.0,2,10,8,3,70.2
random,0.0,0.0,2,11,8,3,72.6
random,0.0,0.0,2,12,8,3,75.0
random,0.0,0.0,2,13,8,3,75.0
random,0.0,0.0,2,14,8,3,76.8
random,0.0,0.0,2,15,10,4,79.5
random,0.0,0.0,2,16,10,4,81.3
random,0.0,0.0,2,17,12,5,98.4
random,0.0,0.0,2,18,13,6,102.2
random,0.0,0.0,2,19,13,6,103.7
random,0.0,0.0,2,20,13,6,106.2
random,0.0,0.0,2,21,13,6,108.5
random,0.0,0.0,2,22,13,6,108.8
random,0.0,0.0,2,23,13,6,110.3
random,0.0,0.0,2,24,14,6,123.4
random,0.0,0.0,2,25,14,6,124.3
random,0.0,0.0,2,26,14,6,128.0
random,0.0,0.0,2,27,15,7,137.6
random,0.0,0.0,2,28,16,7,137.7
random,0.0,0.0,2,29,17,7,140.5
random,0.0,0.0,2,30,16,7,123.6
random,0.0,0.0,2,31,16,7,124.5
random,0.0,0.0,2,32,16,7,111.4
random,0.0,0.0,2,33,16,7,109.9
random,0.0,0.0,2,34,16,7,115.3
random,0.0,0.0,2,35,16,7,111.4
random,0.0,0.0,2,36,11,5,73.3
random,0.0,0.0,2,37,11,5,69.4
random,0.0,0.0,2,38,10,4,57.3
random,0.0,0.0,2,39,10,4,60.6
random,0.0,0.0,2,40,10,4,65.7
random,0.0,0.0,2,41,10,4,64.2
random,0.0,0.0,2,42,10,4,66.6
random,0.0,0.0,2,43,10,4,70.5
random,0.0,0.0,2,44,10,4,73.5
random,0.0,0.0,2,45,10,4,75.3
random,0.0,0.0,2,46,11,5,82.3
random,0.0,0.0,2,47,11,5,85.3
random,0.0,0.0,2,48,11,5,87.7
random,0.0,0.0,2,49,11,5,89.2
random,0.0,0.0,2,50,11,5,92.8
random,0.0,0.0,2,51,11,5,90.4
random,0.0,0.0,2,52,11,5,91.0
random,0.0,0.0,2,53,11,5,93.7
random,0.0,0.0,2,54,11,5,91.6
random,0.0,0.0,2,55,11,5,94.0
random,0.0,0.0,2,56,11,5,95.5
random,0.0,0.0,2,57,11,5,97.6
random,0.0,0.0,2,58,12,5,107.8
random,0.0,0.0,2,59,12,5,106.6
random,0.0,0.0,2,60,12,5,102.7
random,0.0,0.0,2,61,12,5,102.7
random,0.0,0.0,2,62,12,5,93.3
random,0.0,0.0,2,63,12,5,97.2
random,0.0,0.0,2,64,12,5,90.9
random,0.0,0.0,2,65,12,5,89.7
random,0.0,0.0,2,66,12,5,84.2
random,0.0,0.0,2,67,13,6,86.6
random,0.0,0.0,2,68,13,6,78.5
random,0.0,0.0,2,69,14,7,79.7
random,0.0,0.0,2,70,14,7,74.9
random,0.0,0.0,2,71,14,7,74.9
random,0.0,0.0,2,72,14,7,83.4
random,0.0,0.0,2,73,14,7,87.0
random,0.0,0.0,2,74,14,7,87.0
